Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Programmer,"Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"You will be asked to:
Read and understand software design specifications.
Prepare conceptual designs of your work in advance of writing code.
Test the completed code and fix your bugs.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Automation Specialist In Training,"Intermediate
Senior",ON - Peel Region,Mississauga,Ontario,"Job Responsibilities:

As an Automation Specialist In Training reporting to the Technical Manager, you may be responsible for:
- Assisting with preparation of electrical designs for control panels
- Performing in-house panel assembly and installation verification
- Developing PLC and HMI applications
- Installing the applications at our client's facility
- Preparing documentation (design documents as well as end-user manuals)",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Developer (Student),Junior,"National Capital Region - Ottawa, Gatineau",Ottawa,Ontario,"RESPONSIBILITIES:
Design, develop, and implement applicable software using the Microsoft stack and applicable database structure (C#, .NET, MongoDB, PostgresSQL).
Engage with cross-functional teams within the organizations' various business groups to understand processes in support of a higher level of efficiency through software development and automation.
Perform investigation with the organizations' various business groups to estimate and verify the impact of automation on existing processes.
Enhance existing software applications through the identification and development of value-added features to improve overall functionality and performance.
Author detailed and precise method documentation to verify product requirements and participate in the refinement of those requirements as required.
Execute test cases, publish test reports, and resolve issues to promote the successful implementation of components in the field.
Provide support to users (Questions, Documentation, Training) as well as track and resolve bugs or any issues that may arise.
Perform any other duties as required.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Adaptive SoC ASIC Design Engineering Co-op (4 months),"Intermediate
Senior",ON - Eastern Ontario,Ottawa,Ontario,"What you'll be doing
Review and contribute to design documentation
Implement RTL logic targeting leading edge ASIC, FPGA, and Adaptive SoC technologies
Design and code innovative, high quality IP products
Support verification team to achieve quality metrics pass rates and coverage
Prototype and debug designs targeting lab hardware boards
What you'll learn
Exposure to the design project cycle from project planning to implementation
Increased technical abilities in simulation debugging methodologies
Teamwork in a collaborative work environment
Problem solving in an efficient manner
Lab debugging skills",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
AMD - Software Engineering Co-op (4 months),Senior,ON - York Region,Markham,Ontario,"What you'll be doing
You will deliver the software required to support the next Generation AMD GPU and enable our leading Cloud partners! This is your opportunity to work on complex software development, plan its deliverables and then track its execution all the way until Launch.

What you'll learn
Visibility to software development cycle: design, documentation, implementation, debugging and validation
Lab skills: building computer systems, component instrumentation, test management, and data acquisition.
Teamwork: working amongst a team of professionals with diverse skills and experiences to gather and provide information and updates, learn new methods and complete projects in an efficient manner
Preparation on working in the field: Work with a very experienced and talented group of Software Engineers to get ready for one of the most sought-after jobs in the industry",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Junior Technical Support Analyst,"Junior
Intermediate
Senior",ON - Toronto,Toronto,Ontario,"Job Responsibilities:
Desk-side support for a highly critical financial services environment (Downtown locations)
Perform remote assistance support functions for different Regional Offices (Calgary, Vancouver, Montreal, Ottawa, London and Boston) to ensure immediate issue resolution
Perform IMAC (Install, Move, Add, Change) functions related to end user computing setup and maintenance of Desktops, Laptops, Mobile (iOS) devices including but not limited to installation of hardware components, installing software
Investigate and troubleshoot various hardware, software and networking related issues
Utilize helpdesk applications and IT knowledgebase to handle incidents and manage problem determination
Document all activities pertaining to incident resolutions
Knowledgeable with Citrix and VPN Remote Access Solutions
Facilitate interactions between IT and the different Business units to resolve issues encountered in their day to day operations
Familiarity with Microsoft SCCM, Intune is an asset but not required.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Junior Web Developer,"Junior
Intermediate
Senior",ON - Toronto,Toronto,Ontario,"Junior Web Developer

We are seeking talented individuals to work with our IT Development Services team. If you are passionate about developing new, improving existing web applications, and building test automation, this is the position for you.

Key Responsibilities:
Responsible for developing and testing applications
Research and investigate alternate solutions for improvements; analyze and provide findings and recommendations to management
Assist our support team with related client design/styling issues
Share knowledge with peers in workshop and day-to-day settings
Help every project you are part of to be innovative and successful
Strong sense of ownership, urgency, and drive
Work under pressure and deliver on time
Have fun!",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Verification and Validation Automation Engineering Assistant,"Junior
Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"As co-op student you have the same job as any of the other Automated Test Developers, you will have a choice which tasks you work on and you can work on very different tasks from day to day or week to week.
An opportunity to design, develop, and execute reusable and maintainable automated scripts.
While you will do a combination of manual & Automated testing this will assist you to familiarize yourself with the product.
We work in three week iterations and you will be involved in planning new features as well as demonstrations and the retrospective.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Verification and Validation - Load and Performance Testing,"Junior
Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"Develops performance/load tests to simulate customer use cases under a variety of test conditions e.g., network access type, peak vs. off peak, etc.
Installs and configures integrated system solution under test
Validates internal performance/load results against field data, in order to improve the performance of the EI releases
Engages with members of the R&D to ensure that the test cases conform to customer expectations.
Supports development of requirements and validates solutions containing products from different competence centres, including third party integrations by testing in a lab and production environment (first deployments)
Validates complex system/product workflows within an enhanced range of products applying profound specific technical or practical knowledge/ experience for supporting test techniques or disciplines
Decision advice to release solutions based on the results of the performance/load testing and according to the quality and regulatory standards
Enables continuous improvement using formal internal process improvement processes",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Automated Test Developer - Cyber Security,"Junior
Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"As co-op student you have the same job as any of the other Automated Test Developers, you will have a choice which tasks you work on and you can work on very different tasks from day to day or week to week.
An opportunity to design, develop, and execute reusable and maintainable automated scripts.
While you will do a combination of manual & Automated testing this will assist you to familiarize yourself with the product.
We work in three week iterations and you will be involved in planning new features as well as demonstrations and the retrospective.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Virology Coop,"Intermediate
Senior","ON - Hamilton, Niagara, Brant, Haldimand Region",Vineland Station,Ontario,"Molecular biology
RNA extraction
RT-PCR
5' 3' RACE
Northern blot
In vitro transcription
Bioinformatics
Identification of viruses in RNAseq data
Nucleotide sequence and diversity analysis.
Viral phylogenetics",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Quality Assurance Engineering,"Junior
Intermediate
Senior",ON - Toronto,North York,Ontario,"Job Responsibilities
You will join a world class software development team to participate in the development of our next generation FleetDefense application. You will create test plans and write automated test cases to execute those test plans under different browsers and platforms.
This is a programming position. However, manual testing will be required at times.
- Create, maintain, schedule and execute project test plans and test cases as required
- Ensure quality standards for a given software product release have been identified and met always from a customer's perspective
- Participate in the development of automated test programs and tools that address areas such as functional, regression, performance, reliability, security and usability testing.
- Participate in conducting software testing with company applications, 3rd party components, and/or other integrated components under various operating systems
- Ensure all defects are logged and documented according to the company's Engineering standards in a bug tracking system
- Investigate and troubleshoot customer problems reported by customer support when needed
- Participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems
- Provide feedback and recommendations to developers on software usability and functionality
- Review product documentation to ensure technical accuracy, compliance and completeness",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Engineering,"Intermediate
Senior",ON - Toronto,North York,Ontario,"Software Engineering- Job Responsibilities

You will join a world class software development team to participate in the development of our next generation Fleet Defense application. You will participate in daily sprint meetings using agile development methodologies to produce quality code that will be tested and deployed in a continuous integration fashion under a DevOps framework working in conjunction with the IT Operations teams. Your job responsibilities may include any of the following:

- Develop new features and maintain existing ones on PHP based Moodle LMS E-Learning platform
- Java and Python based development for ETL and other such automation tasks.
- Develop new single page applications and maintain existing applications involving various JavaScript toolkits and frameworks.
- Write client-side code and come up with prototypes quickly.
- Proactively anticipate roadblocks to accommodate product delivery schedules and collaborate with team members and managers for workarounds.
- Contribute to best practices, coding standards and code reviews in areas relating to web accessibility standards, code reuse, security issues, browser compatibility, performance, and scalability concerns for enterprise class web applications.
WASP Secure Coding Practices
Clean Coding principles
SOLID principles of object-oriented programming
Test Driven Development (TDD). Unit testing and Integration testing.
- Document and present design, architecture, and technical approaches to aid in code maintenance and code reuse
- From Requirements to Deployment
Requirements Gathering, Documentation, Analysis and Review
Implementation and DEMO to BA team
Present testing and deployment procedures to QA team
- Research & Development tasks where any programming language and any technology might be explored and tested.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Electrical Engineering Co-Op Student,"Intermediate
Senior",ON - Toronto,North York,Ontario,"KEY RESPONSIBILITIES

ADMINISTRATION (20-40% of Time)
Provide support to the Office Manager on regular office administration tasks
Organize project electronic filling
Participate at preparation of technical submissions for Proposals.
TECHNICAL SERVICES (60-70% of time)
Provide support to senior electrical engineers
Participate at site investigation along with the supervising engineers
Collaborate with electrical engineers on preparation of specifications and drawings
Participate at technical review meetings
CUSTOMER SUPPORT (5-10% of time)
Involve on preparation of contract documents
Under the supervision of the Office Manager and supervising engineer respond to customer queries.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Quality Assurance Co-op,"Intermediate
Senior",ON - Peel Region,Brampton,Ontario,"DUTIES AND RESPONSIBILITIES
The duties and responsibilities of the Quality Assurance Co-op are detailed below, but not limited to the following:
Generate Standard Operating Procedures (SOP's), Standard Work Instructions (SWI's) for key functions in the department.
Undertake and complete short term projects assigned by the Quality Engineer
Involved in the NCR process to determine effective root causes and implement successful corrective actions
Ability to design, fabricate and implement check gages i.e. GO/NOGO gages
Develop and review control plans, process flows, and PFMEAs
Develop boundary samples and other visual aids
Assist the Quality Engineer with completion of PPAP's in timely manner
Calibration of various tools and gauges, as requested
Update existing ISO forms, documents and work instructions
Interface with all departments within the company
Strengthen and streamline existing processes through continuous improvement
Develop and conduct capability studies, analyse statistical data for trends
Provide support sorting teams and rework teams members
Comply with all health and safety policies
Comply with all quality related policies, procedures and system requirements.
Perform other duties as required.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Associate Business Solutions Consultant,Intermediate,ON - Waterloo Region,Kitchener,Ontario,"What You'll Do:
Assist with business requirements gathering & communicating to both internal and external stakeholders how AltaML can integrate machine learning solutions into our client's business processes and workflows.
Assist with facilitating workshops and client engagements to identify and refine machine learning opportunities
Conduct research into key industry verticals and identify areas where machine learning may provide value and return on investment for customers
Assist in preparing project business reports and presentations to current and potential customers
Assist in identifying and documenting requirements for machine learning use cases
Provide advice to the team related to the development and employment of machine learning solutions based on their deep understanding of the client's requirements",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Developer,Intermediate,ON - Toronto,Toronto,Ontario,"Our culture is fast-moving, and engineers who like to work on a wide variety of projects, try new technologies, and collaborate with cross-functional teams thrive with us. If this sounds like you, we'd love to talk.

We are seeking a Software Developer to help us build the next generation of AdTech and play a major role in helping take our software engineering practice to the next level. We are looking for someone who is excited to learn, tackle new challenges, and make an incredible impact on our products.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Quality Assurance Tester,"Junior
Intermediate
Senior",ON - Toronto,Toronto,Ontario,"Responsibilities
Collaborate with the software development and product team to develop effective strategies and test plans
Design, implement, evaluate, and maintain both automated and manual tests at various stages of the software development life cycle
Assist with improving internal CI/CD processes
Report anomalies and areas of improvement to the software development and product team",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Engineering,"Intermediate
Senior",ON - Toronto,Toronto,Ontario,"Responsibilities & Expectations:
Assist in the design and building of scalable web applications for data collection, management, and visualization using best practices
Work closely with radiologists, oncologists, and biostatisticians to analyze customer & user requirements and convert to technical specifications and priorities
Must be detail-oriented with the ability to learn new technologies and libraries through self-study",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Systems Technician,"Intermediate
Senior","ON - Chatham-Kent, Essex, Lambton Region",Sarnia,Ontario,"Work safely and promote a safe work environment
Work in a timely and efficient manner
Always maintain a clean and organized work area",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Test Technician,"Intermediate
Senior","ON - Chatham-Kent, Essex, Lambton Region",Sarnia,Ontario,"Operate various hand tools, measurement instrumentation, and test equipment.
Maintain lab equipment in a safe, clean, organized, and operational manner.
Troubleshoot and repair fixture problems.
Work safely and promote a safe work environment.
Propose and implement continuous improvement ideas.
Work in a timely and efficient manner.
Always maintain a clean and organized work area.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Laboratory Technician,"Intermediate
Senior",ON - Waterloo Region,Kitchener,Ontario,"Operate various hand tools, measurement instrumentation, and test equipment.
Maintain lab equipment in a safe, clean, organized, and operational manner.
Troubleshoot and repair fixture problems.
Work safely and promote a safe work environment.
Propose and implement continuous improvement ideas.
Work in a timely and efficient manner.
Always maintain a clean and organized work area.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Process Engineering,"Intermediate
Senior","ON - Oxford, Middlesex, Norfolk, Elgin Region",Strathroy,Ontario,"This position will afford the successful applicant a full range of opportunities to complete projects, with required assistance, by a full-time group of engineers. The scope of the projects will only be limited by the candidate's ability.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Development Intern,"Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"Job Responsibilities
Complete tasks within a CI/CD development process.
Contribute to planning and design meetings, perform implementation and maintenance of multiple product modules.
Perform complex bug verification, unit testing, and release testing. Research and develop solutions to problems discovered by QA or product support
Understand market and customer needs, and research new technologies or development tools to ensure that the product satisfies the requirements and performs well.
Candidate will be given tasks according to team needs and aptitudes.
There may be additional testing and test automation work as well as application development support.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Development Co-op,"Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"Job Responsibilities
Work along side other engineers to research/develop new technologies related to:
Preprocessing geometries
Postprocessing simulation results
3D visualization
Analyze and evaluate robustness and performance of new and existing features
Investigate and fix defects in production code",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Development Intern for Ansys Dynamic Reports (ADR),"Junior
Senior",USA - North East,Canonsburg,Pennsylvania,"About Us: Welcome to the Ansys Cloud, Solutions, and Enablement Business Unit (CSEBU), home to the Ansys Dynamic Reports (ADR) project. We're searching for a driven and innovative intern to join our team of experts in revolutionizing engineering report creation and visualization. This internship offers a unique chance to collaborate on a cutting-edge internal project with real-world applications.

Responsibilities: As an intern on the ADR team, you'll help transform engineering reporting through web-centric, interactive solutions. Your responsibilities will include:

Interactive Demonstrations and Documentation:
Develop interactive demonstrations, scripts, and proof-of-concepts (PoCs) for automating the data collection and report generation process in advanced engineering projects, such as turbomachinery flutter studies.
Collaborate with developers from both the ADR team and other Ansys teams, and the customer-facing engineers to design and execute the report generation steps.
Enhancing ADR Functionality:
Dive into expanding the capabilities of the Ansys Dynamic Reports platform.
For instance, take the lead in implementing advanced features like new rendering options for plots or expanding the flexibility of plot filtering to encompass trees or tables.
Exploring Engineering Integrations:
If you bring an engineering background to the table, take the opportunity to fuse engineering insights with coding prowess.
Contribute to proof-of-concept projects, such as envisioning and creating specialized reports tailored for engineering fields like Electronics.
What We Offer:
Immersive involvement in real-world software development and engineering endeavors.
Exposure to state-of-the-art technologies and forward-looking practices.
Mentorship and collaboration with seasoned professionals in a supportive environment.
Insight into the Ansys ecosystem and an opportunity to contribute to its evolution.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Accounting Analyst Co-op,Senior,ON - Peel Region,Mississauga,Ontario,"Responsibilities:
Compile and analyze financial data for monthly, quarterly, and annual financial statements.
Support the preparation of financial reports, including income statements, balance sheets, and cash flow statements.
Verify accuracy and completeness of financial information.
Evaluating business admin processes on an ongoing basis to identify emerging needs or improvements as the business continues to grow
File company credit card receipts and invoices. Booking journal entries of the credit card expenses is a plus.
Follow up on accounts receivable and provide weekly reports to management
Support collection process
Accounts receivables - collection of physical cheques at the office and collection of physical receipts for credit card reconciliation.
Collaborate with team members to assist in the development of budgets and forecasts.
Analyze variances between actual financial results and budgeted/forecasted amounts.
Provide support in creating financial models to aid decision-making.
Spearheading the implementation and ongoing maintenance and compliance of new processes
Support in the calculation of commissions and bonuses",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Product Support Engineering,Senior,ON - Peel Region,Mississauga,Ontario,"Job Responsibilities:
Monitor internal processes to ensure standards are being followed on all communication channels, logging & tracking of tickets, product documentation and SLAs and identify points of optimization
Investigate product related issues in order to design and recommend appropriate fixes while coordinating with the appropriate teams
Understand significance of issues and create POCs to resolve them
Identify and route support issues to appropriate groups and escalate issues as required
You will have the opportunity to work alongside Appficiency leadership to shape the future of the support organization; not limited to infrastructure, process, technology
You will serve as the voice of the customer to internal stakeholders, providing insight, data and product design suggestions to inform the team's product development
Constantly iterate on what support means to internal and external stakeholders, evolving the support organization's SOPs, methodologies, and documentation",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Engineering Co-op,"Intermediate
Senior",USA - West,,California,"Some responsibilities in Software Engineering may include:

Backend Development - Making the features that Apple users love (like Siri) work by presenting data to the user-facing applications. Backend development opportunities are available for students in the following areas:

Siri, iCloud, Apple Maps, Core OS, macOS, Frameworks and Applications, Interactive Media Group, Audio/Video Software Integration and Localization, Advanced Computation, iWorks, Pro Apps, Apple Music, Security, Site Reliability Engineering (SRE) and Platform Infrastructure Engineering (PIE)

Core OS - The Core OS team is responsible for the design and development of core technologies that are deployed across all Apple product areas including the iPhone, iPad, Watch, MacBook, iMac, Apple TV, and audio accessories. (Yes, that's pretty much everything.)

Web Development - Help build web-based tools and applications to improve our products and do more for our customers. Our developers are responsible for crafting the direction of our products by considering the architecture, performance, testing, design, and implementation. And of course we look for engineers that use our products.

Information Systems & Technology (IS&T) - Produce key business and technical infrastructure at Apple handling orders from the online store, building applications that improve the retail store experience, developing solutions to enable customers to learn about and support their devices, providing network bandwidth for our services around the world, processing every transaction in iTunes, and closing the books. From Apple ID to the Apple website to our data centers around the globe, IS&T manages the massive systems and services that so many rely on. They also build the custom tools that empower our employees to solve problems on their own. And that means these engineers are free to do what engineers do best-explore all of technology's possibilities.

Engineers at Apple work on both UI level and lower-level implementation details. The successful intern candidate will be amenable to working in a dynamic, collaborative environment. The person filling this position must be a hands-on, enthusiastic, self-motivated developer with strong initiative and desire to succeed in a challenging environment. You will have a real passion for extraordinary user experiences and an eye for details. Those applying for the Web Development intern position should include a link to a web portfolio",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
"Operations, Manufacturing Design Engineering Co-op","Intermediate
Senior",USA - West,,California,"Some of the responsibilities in Manufacturing Engineering may include:

MANUFACTURING DESIGN ENGINEER
As an MDE, you will handle selection, implementation & optimization of manufacturing processes for mechanical enclosure subassemblies for our legendary products.
Utilize Mechanical Engineering experience and work cross functionally with Product Design Engineering and Industrial Design
Assess product features for manufacturability, and recommend capable processes and equipment.
Developing new manufacturing processes to enable future product design and conducting DOEs to validate process capability.
Work with Global Supplier Managers to identify capable suppliers, assess their secondary processes for capacity, quality and cost.
Work with suppliers to define and refine mechanical tooling, fixtures and establish capability / readiness.
Audit supplier processes and assembly processes and support product phase builds from EVT, DVT PVT and ramp.
Assist post production quality / cost improvement activity related to fixtures and processes.

MANUFACTURING QUALITY ENGINEER
As an MQE, you will utilize Engineering, Factory Management & Supply Chain skills in developing and implementing high efficiency inspection equipment, groundbreaking quality systems and ultimately the best products available.
Help lead the creation of state of the art inspection & measurement equipment for Apple product.
Apply your understanding of quality control and manufacturing concepts to lead the development of specific Product Quality Plans (PQP) appropriate to program and commodity.
Provide technical direction and mentorship to other Quality Engineers supporting the implementation of the PQP.
Identify and direct studies to implement improvements in measuring method where appropriate.
Coordinate Quality Engineering functions for multiple programs in the product category.
Collaborate with internal and external groups to ensure accurate definition of quality expectations and appropriate assurance techniques are used for the product.
Supplier Quality Management - Assist in supplier selection process for new products and sourcing activities. Assess supplier production control and quality programs, identify shortfalls to expectations, and directly secure agreement to correct. Supervise each supplier's performance through measurement of production line statistics, company inspections, and audits.

SUBJECT MATTER AUTHORITY
Our SME's investigate and develop solutions to overcome difficult technical challenges that require non-standard manufacturing approaches. Apply your engineering skills to develop an in depth understanding of the process drivers that will drive successful implementation of significant improvements to mechanical enclosures.

The following activities fall within the scope of responsibilities:
Assess mechanical designs and relate design goals to process, equipment, and material requirements to evaluate a set of options to tackle difficult manufacturing problems.
Research manufacturing processes and evaluate them for potential to achieve technical goals.
Plan and execute development trials to test feasibility, optimize process inputs, and validate capabilities of process options.
Present analysis to key decision makers used to make significant commercial and design commitments.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Arc'teryx Summer postings - Engineering,"Junior
Intermediate
Senior",Western Canada,New Westminster,British Columbia,"Available roles, please apply directly:
Data Scientist
Quality Engineering (based out of ARC'One - New Westminster office)
Continuous Improvement (Manufacturing-focused, based out of ARC'One - New Westminster office)
Manufacturing Engineering (2 positions available, based out of ARC'One - New Westminster office)",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Engineering,"Intermediate
Senior",ON - Toronto,Toronto,Ontario,"The Software Engineering position provides options to work on the following projects:
Add features to the software part of the FPGA platform for the financial services industry
Work on enhancing the ArchES' market data resiliency service
Work as DevOps Engineer to improve the current CI/CD infrastructure
Work on improving the ArchES' internal Stock Exchange emulator",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
FPGA Design Engineering,Senior,ON - Toronto,Toronto,Ontario,"The FPGA Design Engineer position provides options to work on the following projects:
Add and enhance the ArchES' IP collection used on the FPGA platform for the financial services industry
Build a FPGA based diagnostic platform
Work on optimizing the system level performance of the FPGA platform
Collaborate as a member of a close-knit team to define the next generation of FPGA platform",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Software Developer - Autobots Team,"Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"Job Responsibilities:
Participate in the full software development life cycle
Build well-designed, testable, efficient, secure code
Deliver solutions at the intersection of Big Data, Cloud, and Web
Collaborate with the user experience designer, product manager and other developers to understand problems, then develop and test solutions in an iterative cycle
Work with the latest technologies and broaden your skillset
Meet regularly with the team to review progress and share technical issues
Implement bug-fixes and contribute to on-going product maintenance",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
Developer Co-op Pathfinders,"Intermediate
Senior",ON - Waterloo Region,Waterloo,Ontario,"Develop new internal and external user-facing features.
Write well organized, testable, and high performing code.
Optimize application for maximum speed, security, and scalability.
Assure that all user input is validated and consumed securely.
Collaborate with other team members and stakeholders.
Build and maintain unit and integration tests.
Implement bug-fixes and contribute to on-going product maintenance.",
Job Title,Level,Region,Job - City,Job - Province / State,Job Responsibilities,Required Skills
